Company,Permno,IpoDate
Applix,81137.0,1994-12-08
Micrel,81162.0,1994-12-08
American Bingo & Gaming,81145.0,1994-12-14
Global Telecommunication,81157.0,1994-12-14
Guidant Corporation,81126.0,1994-12-14
Netcom On-Line Communications,81169.0,1994-12-14
Security Dynamics Technologies,81178.0,1994-12-14
Universal Stainless & Alloy,81184.0,1994-12-14
Bolle America,81144.0,1994-12-15
Microtec Research,81166.0,1994-12-15
PriCellular,81131.0,1994-12-15
Stillwater Mining,81173.0,1994-12-15
Trans World Gaming,81158.0,1994-12-15
Universal Automotive,81185.0,1994-12-15
Videonics,81186.0,1994-12-15
BTG,81146.0,1994-12-16
Crown Pacific Partners LP,81123.0,1994-12-16
IWI Holding,81160.0,1994-12-16
Phamis,81174.0,1994-12-16
ITT Educational Services,81128.0,1994-12-19
Mitcham Industries,81165.0,1994-12-19
Orthodontic Centers of America,81172.0,1994-12-20
Saint Andrews Golf,81176.0,1994-12-21
Teletouch Communications,81181.0,1994-12-21
Diasys,81201.0,1995-01-10
SunPharm,81228.0,1995-01-12
California Pro Sports,81199.0,1995-01-18
Infosafe Systems,81212.0,1995-01-18
Timeline,81230.0,1995-01-18
Nabisco Holdings,81191.0,1995-01-19
SMC,81224.0,1995-01-20
Ariel,81196.0,1995-01-24
Insight Enterprises,81220.0,1995-01-24
Austins Steaks & Saloon,81226.0,1995-01-25
LL Knickerbocker,81215.0,1995-01-25
Ostex International,81221.0,1995-01-25
Renters Choice,81222.0,1995-01-25
Daisytek International,81202.0,1995-01-26
Neopath,81218.0,1995-01-26
Tylan General,81232.0,1995-01-26
Brooks Automation,81241.0,1995-02-01
Congoleum,81288.0,1995-02-01
Ultradata Systems,81283.0,1995-02-01
American Standard Companies,81285.0,1995-02-02
Integrated Silicon Solutions,81256.0,1995-02-02
Semitool,81275.0,1995-02-02
Technical Chemicals,81280.0,1995-02-02
Concentra,81245.0,1995-02-06
Sirrom Capital,81276.0,1995-02-06
Advanced Voice Technologies,81253.0,1995-02-07
Coin Bill Validator,81242.0,1995-02-07
Nickelodeon Theater Co,81264.0,1995-02-07
Big Smith Brands,81545.0,1995-02-08
General Magic,81248.0,1995-02-09
Information Storage Devices,81255.0,1995-02-09
PDG Remediation,81269.0,1995-02-09
ProtoSource,81271.0,1995-02-10
Sims Communications,81272.0,1995-02-10
Oak Technology,81265.0,1995-02-13
ADCO Technologies,81238.0,1995-02-14
Dualstar Technologies,81246.0,1995-02-14
Globalstar Telecommunications,81249.0,1995-02-14
STB Systems,81277.0,1995-02-14
US Office Products,81266.0,1995-02-14
Ampace,81267.0,1995-02-16
InTime Systems International,81279.0,1995-02-16
MedPartners,81262.0,1995-02-21
Anicom,81240.0,1995-02-22
HCIA,81252.0,1995-02-22
Sola International,81290.0,1995-02-23
Toy Biz,81293.0,1995-02-23
Transaction Systems,81282.0,1995-02-23
Speedway Motorsports,81292.0,1995-02-24
ThrustMaster,81281.0,1995-02-24
TGV Software,81515.0,1995-02-28
VIASOFT,81519.0,1995-03-01
P-COM,81502.0,1995-03-02
Software Artistry,81514.0,1995-03-02
Dynamic World Distributors,81498.0,1995-03-03
Dollar Tree Stores,81481.0,1995-03-06
Riviana Foods Inc,81508.0,1995-03-06
DSP Communications,81482.0,1995-03-07
Interactive Flight,81486.0,1995-03-07
PST Vans,81504.0,1995-03-07
EqualNet Holdings,81485.0,1995-03-08
Fort Howard,81487.0,1995-03-09
Golf Training Systems,81619.0,1995-03-09
Commonwealth Aluminum,81475.0,1995-03-10
Tivoli Systems,81516.0,1995-03-10
Horizon Mental Health,81300.0,1995-03-13
National Instruments,81501.0,1995-03-13
Palmer Wireless,81505.0,1995-03-14
ASM Lithography Holding,81472.0,1995-03-15
Continental Circuits,81477.0,1995-03-15
SDL,81509.0,1995-03-15
LifeRate Systems,81496.0,1995-03-16
Uniroyal Chemical,81517.0,1995-03-16
Remedy,81506.0,1995-03-17
CATS Software,81476.0,1995-03-20
Circle K,81296.0,1995-03-22
Datastream Systems,81483.0,1995-03-29
ACT Manufacturing,81470.0,1995-03-30
Periphonics Corp,81503.0,1995-03-31
Renaissance Solutions,81582.0,1995-04-03
AmeriSource Health Corp,81540.0,1995-04-04
Creative Computers,81566.0,1995-04-04
Mustang Software,81570.0,1995-04-05
Premisys Communications,81578.0,1995-04-05
Aegis Consumer Funding Group,81536.0,1995-04-06
Asia Pacific Res Intl Hldg Ltd,81534.0,1995-04-06
Boise Cascade Office Products,81523.0,1995-04-06
Finlay Enterprises,81553.0,1995-04-06
General Acceptance,81557.0,1995-04-06
Hello Direct,81563.0,1995-04-07
Rainforest Cafe,81581.0,1995-04-07
Aid Auto Stores,81538.0,1995-04-10
Katz Media Group,81525.0,1995-04-10
PMI Group,81530.0,1995-04-10
Expert Software,81592.0,1995-04-11
AmeriGas Partners LP,81521.0,1995-04-12
Diamond Multimedia Systems,81550.0,1995-04-12
Easco,81552.0,1995-04-13
Open Environment,81573.0,1995-04-13
RTW,81586.0,1995-04-18
Taitron Components,81588.0,1995-04-19
ANADIGICS,81539.0,1995-04-20
OMNI MultiMedia Group,81529.0,1995-04-20
STAT Healthcare,81551.0,1995-04-21
Shared Technologies Cellular,81587.0,1995-04-21
Weitzer Homebuilders,81591.0,1995-04-26
MarketLink,81567.0,1995-04-27
PACE Health Management,81575.0,1995-04-27
Republic Engineered Steels,81583.0,1995-04-28
Bell & Howell,81653.0,1995-05-01
Performance Systems,81639.0,1995-05-01
ACT Networks,81599.0,1995-05-02
CRA Managed Care,81608.0,1995-05-03
NetVantage,81631.0,1995-05-03
Tel-Com Wireless Cable TV,81643.0,1995-05-03
Firefox Communications,81616.0,1995-05-04
Image Sensing Systems,81624.0,1995-05-04
Phoenix Gold International,81637.0,1995-05-04
StorMedia,81642.0,1995-05-04
OccuSystems,81635.0,1995-05-08
Garden Ridge,81618.0,1995-05-09
R-B Rubber Products,81640.0,1995-05-10
Electropharmacology,81613.0,1995-05-12
AG Associates,81597.0,1995-05-15
ERD Waste,81615.0,1995-05-17
Garden Fresh Restaurant,81626.0,1995-05-17
Intrav,81645.0,1995-05-18
Opal,81634.0,1995-05-18
Baan Company NV,81602.0,1995-05-19
HealthPlan Services,81656.0,1995-05-19
Jilin Chemical Industrial,81658.0,1995-05-19
Harmonic Lightwaves,81621.0,1995-05-22
Interactive Group,81623.0,1995-05-23
APPS Dental,81600.0,1995-05-24
Borders Group,81654.0,1995-05-24
Maxis,81629.0,1995-05-24
NexGen Inc,81633.0,1995-05-24
VideoServer,81650.0,1995-05-24
Hardinge Brothers,81620.0,1995-05-25
Number Nine Visual Technology,81632.0,1995-05-25
Reckson Associates Realty,81660.0,1995-05-25
UUNet Technologies,81648.0,1995-05-25
Computer Learning Centers,81607.0,1995-05-31
Belmont Homes,81685.0,1995-06-01
FEI,81705.0,1995-06-01
US Order,81759.0,1995-06-01
ResMed,81736.0,1995-06-02
ArcSys,81683.0,1995-06-06
Med-Design,81721.0,1995-06-06
Sinclair Broadcast Group,81740.0,1995-06-06
Socket Communications,81741.0,1995-06-06
Trump Hotels & Casino Resorts,81676.0,1995-06-07
Yes Entertainment,81764.0,1995-06-07
American Radio Systems,81679.0,1995-06-08
Oravax,81733.0,1995-06-08
Sitel,81747.0,1995-06-08
Teltrend,81754.0,1995-06-08
American Oncology Resources,81682.0,1995-06-12
Western Power & Equipment,81762.0,1995-06-13
Serologicals,81743.0,1995-06-14
TranSwitch,81756.0,1995-06-14
Datalogix International,81697.0,1995-06-15
MySoftware,81725.0,1995-06-15
View Tech,81761.0,1995-06-15
Westinghouse Air Brake,81677.0,1995-06-15
Chicago Miniature Lamp,81689.0,1995-06-16
Eagle Point Software,81701.0,1995-06-16
Brockway Standard Holdings,81687.0,1995-06-20
CP Clare,81692.0,1995-06-20
EchoStar Communications,81696.0,1995-06-20
HNC Software,81712.0,1995-06-20
Studio Plus Hotels,81749.0,1995-06-20
Natural Health Trends,81728.0,1995-06-21
VidaMed,81760.0,1995-06-21
HighwayMaster Communications,81713.0,1995-06-22
Spine-Tech,81751.0,1995-06-22
Microfield Graphics,81722.0,1995-06-23
Physicians Resource Group,81668.0,1995-06-23
Business Resource Group,81686.0,1995-06-27
Global DirectMail,81665.0,1995-06-27
Spyglass,81750.0,1995-06-27
BDM International,81684.0,1995-06-28
InStent,81716.0,1995-06-28
Integrated Communication,81714.0,1995-06-28
Paradigm Technology,81735.0,1995-06-28
SOS Staffing Services,81748.0,1995-06-28
Coda Music Technologies,81691.0,1995-06-29
Inference,81715.0,1995-06-29
MobileMedia,81720.0,1995-06-29
Rattlesnake Holding,81738.0,1995-06-29
Dendrite International,81698.0,1995-06-30
Discreet Logic,81699.0,1995-06-30
Metra Biosystems,81724.0,1995-06-30
Seer Technologies,81742.0,1995-06-30
Telesoft,81755.0,1995-06-30
Just Like Home,81873.0,1995-07-06
Legato Systems,81877.0,1995-07-06
MIDCOM Communications,81879.0,1995-07-06
OnTrak Systems,81887.0,1995-07-10
Tele-Communications Intl,81902.0,1995-07-12
"BNCcorp, Bismarck, ND",81851.0,1995-07-13
MEMC Electronic Materials Inc,81776.0,1995-07-13
Martin Industries,81884.0,1995-07-13
Sel-Leb Marketing,81899.0,1995-07-13
Novadigm,81886.0,1995-07-14
BT Office Products,81767.0,1995-07-18
"CET Environmental Services,",81769.0,1995-07-18
PixTech,81890.0,1995-07-18
Programmer's Paradise,81893.0,1995-07-18
CSI Computer Specialists,81858.0,1995-07-19
Play By Play Toys & Novelties,81888.0,1995-07-19
Teekay Shipping,81784.0,1995-07-19
Exogen,81862.0,1995-07-20
IMNET Systems,81871.0,1995-07-20
Integrated Measurement Systems,81872.0,1995-07-20
Rockford Industries,81897.0,1995-07-20
Tesma International,81904.0,1995-07-20
Unison Software,81906.0,1995-07-20
Veritas Music Entertainment,81907.0,1995-07-20
Align-Rite International,81878.0,1995-07-21
MS Financial,81883.0,1995-07-21
R. F. Management,81895.0,1995-07-21
MiniMed,81882.0,1995-07-24
Tarrant Apparel Group,81901.0,1995-07-24
DLB Oil & Gas,81859.0,1995-07-25
RSI Systems,81898.0,1995-07-25
Logans Roadhouse,81894.0,1995-07-26
Red Lion Hotels,81778.0,1995-07-26
RenaissanceRe Holdings,83728.0,1995-07-26
Across Data Systems,81849.0,1995-07-27
Astea International,81850.0,1995-07-27
Cybex,81854.0,1995-07-27
Forcenergy Gas Exploration,81864.0,1995-07-27
GSE Systems,81869.0,1995-07-27
TelCom Semiconductor,81903.0,1995-07-27
Falcon Drilling,81866.0,1995-07-28
KeraVision,81874.0,1995-07-28
Percon Acquisition,81891.0,1995-07-28
Jayhawk Acceptance,82183.0,1995-07-31
Pet Practice,82225.0,1995-07-31
Sequana Therapeutics,82216.0,1995-07-31
Smartflex Systems,82214.0,1995-07-31
ON Technology,82204.0,1995-08-01
Orion Network Systems,82202.0,1995-08-01
Pure Software,82209.0,1995-08-01
Union Acceptance,82221.0,1995-08-01
Ostech,82205.0,1995-08-02
Owen Healthcare Inc,82206.0,1995-08-02
Ambassadors International,82155.0,1995-08-03
Arcadian,81914.0,1995-08-03
Legal Research Center,82188.0,1995-08-03
Moovies,82192.0,1995-08-03
National Medical Financial,82195.0,1995-08-03
ThermoSpectra,81922.0,1995-08-03
Kyzen,82186.0,1995-08-04
Summit Medical Systems,82218.0,1995-08-04
USA Detergents,82222.0,1995-08-07
ANSAN,82156.0,1995-08-08
Netscape Communications,82200.0,1995-08-08
WFS Financial,82228.0,1995-08-08
Community Care of America,82161.0,1995-08-09
Oakley,81920.0,1995-08-09
Pudgie's Chicken,82210.0,1995-08-09
UCAR International,81925.0,1995-08-09
US Bridge of NY,82223.0,1995-08-09
Atlas Air,82157.0,1995-08-10
Digital Descriptor Systems,82170.0,1995-08-10
HPR,82177.0,1995-08-10
Sunstone Hotel Investors,82217.0,1995-08-10
VictorMaxx Technologies,82226.0,1995-08-10
Videolan Technologies,82219.0,1995-08-10
Bureau of Electronic,82159.0,1995-08-11
Cellegy Pharmaceuticals,82163.0,1995-08-11
Desktop Data,82172.0,1995-08-11
Kushi Macrobiotics,82185.0,1995-08-11
New Paradigm Software,82199.0,1995-08-11
AVX,81912.0,1995-08-14
Cutter & Buck,82160.0,1995-08-14
NHP,82194.0,1995-08-14
Oncorx,82201.0,1995-08-14
Romac International,82212.0,1995-08-14
Solar-Mates,82282.0,1995-08-14
Vantive,82227.0,1995-08-14
MVSI,82193.0,1995-08-15
Redhook Ale Brewery,82176.0,1995-08-16
Mackie Designs,82191.0,1995-08-18
Euphonix,82173.0,1995-08-22
Harbinger,82178.0,1995-08-22
Mako Marine International,82190.0,1995-08-23
Plasma & Materials Tech,82207.0,1995-08-23
Com/Tech Communication,82164.0,1995-08-24
Computron Software,82168.0,1995-08-24
Computational Systems,82167.0,1995-08-28
Ballantyne of Omaha,82234.0,1995-09-06
Triathlon Broadcasting,82286.0,1995-09-07
Carbide/Graphite Group,82253.0,1995-09-13
Risk Capital Holdings,82276.0,1995-09-13
Boyds Wheels,82252.0,1995-09-15
Smith Micro Software,82281.0,1995-09-18
NetStar,82268.0,1995-09-19
Pediatrix Medical Group,82272.0,1995-09-19
Pepsi-Cola Puerto Rico,82237.0,1995-09-19
Ariely Advertising,82278.0,1995-09-20
Core Laboratories,82656.0,1995-09-20
Premenos Technology,82275.0,1995-09-20
Tel-Save Holdings,82285.0,1995-09-20
Alternate Postal Delivery,82250.0,1995-09-21
General Scanning,82261.0,1995-09-21
Mail-Well,82266.0,1995-09-21
Midwest Express Holdings,82235.0,1995-09-21
PanAmSat,82283.0,1995-09-21
United Dental Care,82290.0,1995-09-22
Personnel Group of America,82238.0,1995-09-25
Accom,82247.0,1995-09-26
Renaissance Hotel Group,82243.0,1995-09-26
Tera Computer,82287.0,1995-09-26
AHI Healthcare Systems,82249.0,1995-09-28
CheckFree,82255.0,1995-09-28
Computer Management Sciences,82256.0,1995-09-28
DepoTech,82258.0,1995-09-28
Eastbay,82259.0,1995-09-28
Mizar,82265.0,1995-09-28
Zycon,82291.0,1995-09-28
Greenman Technologies,82494.0,1995-09-29
Microwave Power Devices,82267.0,1995-09-29
Simware,82280.0,1995-09-29
Prudential Reinsurance,82303.0,1995-10-02
Data Documents,82481.0,1995-10-03
First Investors Financial,82491.0,1995-10-03
ESS Technology,82488.0,1995-10-05
Gadzooks,82492.0,1995-10-05
LeCroy,82504.0,1995-10-05
Myriad Genetics,82508.0,1995-10-05
TST/Impreso,82533.0,1995-10-05
World Airways,82539.0,1995-10-05
NUR Advanced Technologies,82511.0,1995-10-06
Verity,82535.0,1995-10-06
Vodavi Technology,82536.0,1995-10-06
SpeedFam International,82522.0,1995-10-09
APAC TeleServices,82471.0,1995-10-10
Allmerica Financial,82292.0,1995-10-10
Central Parking,82295.0,1995-10-10
Union Pacific Resources Group,82308.0,1995-10-10
Diamond Offshore Drilling,82298.0,1995-10-11
Elantec Semiconductor,82485.0,1995-10-11
Food Court Entertainment,82490.0,1995-10-11
Gemstar International Group,84005.0,1995-10-11
GT Bicycles,82495.0,1995-10-12
Oak Hill Financial,82512.0,1995-10-12
SCP Pool,82515.0,1995-10-12
Sonus Pharmaceuticals,82526.0,1995-10-12
William Greensberg Jr Desserts,82476.0,1995-10-12
American Coin Merchandising,82470.0,1995-10-13
Rick's Cabaret International,82518.0,1995-10-13
Rom Tech,82520.0,1995-10-13
Logic Works,82505.0,1995-10-16
Meadow Valley Corporation,82507.0,1995-10-16
ARV Assisted Living,82474.0,1995-10-17
Telechips,82528.0,1995-10-17
ADE,82467.0,1995-10-18
ScanVec Co(1990),82527.0,1995-10-18
Tegal,82530.0,1995-10-18
Wireless One,82538.0,1995-10-18
Gliatech,82493.0,1995-10-19
Enterprise Systems,82487.0,1995-10-20
Jerry's Famous Deli,82482.0,1995-10-20
RadiSys,82521.0,1995-10-20
Argyle Television Holding,82472.0,1995-10-23
Gucci Group,82300.0,1995-10-23
Imperial Thrift & Loan,82501.0,1995-10-23
Intimate Brands,82301.0,1995-10-23
Pharmacyclics,82513.0,1995-10-23
Donaldson Lufkin & Jenrette,82299.0,1995-10-24
Etec Systems,82489.0,1995-10-24
Applied Computer Technology,82466.0,1995-10-25
Sterling House,82306.0,1995-10-25
DataWorks,82484.0,1995-10-26
Nimbus CD International,82510.0,1995-10-26
Winfield Capital,82537.0,1995-10-26
Sheridan Healthcare,82524.0,1995-10-30
Vanguard Airlines,82534.0,1995-10-30
Cooper & Chyan Technology,82655.0,1995-10-31
Gaylord Companies,82657.0,1995-10-31
Total Renal Care Holdings,82307.0,1995-10-31
DST Systems Inc.,83186.0,1995-11-01
K-III Communications,82640.0,1995-11-01
Cardiometrics,82559.0,1995-11-02
Cytoclonal Pharmaceutics,82567.0,1995-11-02
Clarify,82562.0,1995-11-03
Henry Schein,82581.0,1995-11-03
US Opportunity Search,82621.0,1995-11-03
Arbor Software,82551.0,1995-11-06
Perclose,82603.0,1995-11-06
Pete's Brewing,82627.0,1995-11-06
ROSS Technology,82608.0,1995-11-06
Sano,82610.0,1995-11-06
Venture Seismic,82622.0,1995-11-06
COREStaff,82566.0,1995-11-07
Sandisk,82618.0,1995-11-07
GelTex Pharmaceuticals,82576.0,1995-11-08
Home Health Corp of America,82579.0,1995-11-08
Investors Financial Services,82584.0,1995-11-08
Meta Software Inc,82594.0,1995-11-08
Eckler Industries,82568.0,1995-11-09
Fractal Design,82574.0,1995-11-09
Medwave,82593.0,1995-11-09
National Surgery Centers,82597.0,1995-11-09
Sync Research,82620.0,1995-11-09
Visio,82623.0,1995-11-09
ADAM Software,82544.0,1995-11-10
Asta Funding,82552.0,1995-11-13
New Horizon Kids Quest,82588.0,1995-11-13
Applied Microsystems,82550.0,1995-11-14
Lexmark International Group,82643.0,1995-11-14
Lumisys,82591.0,1995-11-14
AMX,82549.0,1995-11-15
Advent Software,82546.0,1995-11-15
Catalyst International,82564.0,1995-11-15
Photon Dynamics Inc,82605.0,1995-11-15
CFC International,82558.0,1995-11-16
Estee Lauder,82642.0,1995-11-16
First Commonwealth,82572.0,1995-11-16
IDX Systems,82583.0,1995-11-16
Scopus Technology,82612.0,1995-11-16
Waters,82651.0,1995-11-16
Advanced Energy Industries,82547.0,1995-11-17
CORT Business Services,82565.0,1995-11-17
Canadian National Railway,84181.0,1995-11-17
Embryo Development Corp,82569.0,1995-11-17
Pen Interconnect,82602.0,1995-11-17
Secure Computing,82613.0,1995-11-17
Simon Transportation Services,82615.0,1995-11-17
Smart Modular Technologies,82616.0,1995-11-17
Software 2000,82614.0,1995-11-17
Boston Beer,82634.0,1995-11-20
Consolidated Delivery,82557.0,1995-11-20
Emeritus,82638.0,1995-11-20
Imperial Credit Mortgage Hldgs,82639.0,1995-11-20
Italian Oven,82600.0,1995-11-20
Meadowbrook Insurance Group,82644.0,1995-11-20
Multimedia Concepts,82595.0,1995-11-20
Amerin,82548.0,1995-11-21
Big Flower Press Holdings Inc.,82632.0,1995-11-21
Buckeye Cellulose Corp,82635.0,1995-11-21
Intevac Industries,82587.0,1995-11-21
Lasalle Re Holdings,82590.0,1995-11-21
Network Appliance,82598.0,1995-11-21
PathoGenesis,82604.0,1995-11-21
Silicon Storage Technology,82619.0,1995-11-21
Western Fidelity Funding,82626.0,1995-11-21
Yieldup International,82628.0,1995-11-21
Gynecare,82577.0,1995-11-22
Parexel International,82607.0,1995-11-22
BAB Holdings,82554.0,1995-11-27
Carnegie Group Inc,82560.0,1995-11-29
Pixar,82606.0,1995-11-29
Eagle USA Airfreight,82697.0,1995-11-30
Lernout en Hauspie,82719.0,1995-11-30
Northwest Pipe,82599.0,1995-11-30
Objective Systems Integrators,82732.0,1995-11-30
Raytel Medical,82740.0,1995-11-30
Westell Technologies Inc,82762.0,1995-11-30
Benchmarq Microelectronics,82673.0,1995-12-01
META Group,82724.0,1995-12-01
BE Semiconductor Industries,82672.0,1995-12-04
Help At Home,82707.0,1995-12-05
Pharmacopeia,82734.0,1995-12-05
Quintel Entertainment,82738.0,1995-12-05
Terrace Holdings,82754.0,1995-12-05
Western Pacific Airlines,82761.0,1995-12-05
Allegro New Media,82669.0,1995-12-06
International Cutlery,82711.0,1995-12-06
Kinetiks.com,82716.0,1995-12-06
Learning Tree International,82720.0,1995-12-06
Mecon,82723.0,1995-12-06
Spacetec IMC,82744.0,1995-12-06
Cronos,82683.0,1995-12-07
Neuromedical Technologies Inc,82729.0,1995-12-07
Citrix Systems,82686.0,1995-12-08
Advanced Lighting Technologies,82663.0,1995-12-11
Cardiovascular Diagnostics,82688.0,1995-12-11
Visioneer,82759.0,1995-12-11
AML Communications,82667.0,1995-12-12
Ascent Entertainment Group,82703.0,1995-12-12
Ecotyre Technologies,83135.0,1995-12-12
Kiddie Academy International,82715.0,1995-12-12
MetaTools,82727.0,1995-12-12
Molecular Devices,82722.0,1995-12-12
Physio-Control International,82736.0,1995-12-12
Bristol Hotel,82769.0,1995-12-13
CapMAC Holdings,82770.0,1995-12-13
Extended Stay America,82751.0,1995-12-13
Hart Brewing,82710.0,1995-12-13
Kensey Nash,82717.0,1995-12-13
Morrow Snowboards,82726.0,1995-12-13
SQA,82749.0,1995-12-13
Smith-Midland,82745.0,1995-12-13
Synaptic Pharmaceutical,82746.0,1995-12-13
Atlantic Pharmaceuticals,82670.0,1995-12-14
Blonder Tongue Laboratories,82768.0,1995-12-14
CKS Group,82679.0,1995-12-14
Ergo Science,82695.0,1995-12-14
Fuisz Technologies,82700.0,1995-12-14
GT Interactive Software,82704.0,1995-12-14
MSC Industrial Direct,82777.0,1995-12-14
SC & T International,82741.0,1995-12-14
TechForce,82753.0,1995-12-14
Tollgrade Communications,82755.0,1995-12-14
Triple P,82767.0,1995-12-14
United Transnet,82783.0,1995-12-14
Adept Technology,82664.0,1995-12-15
Ols Asia Holdings,82731.0,1995-12-15
Schlotzsky's,82675.0,1995-12-15
Widecom Group,82760.0,1995-12-15
Zoran,82766.0,1995-12-15
GCR Holdings,82701.0,1995-12-18
NuCo2,82730.0,1995-12-18
Unison Healthcare,82757.0,1995-12-18
Elcom International,82693.0,1995-12-19
Global Pharmaceutical,82702.0,1995-12-19
Guarantee Life Companies,82706.0,1995-12-19
AMISYS Managed Care Systems,82666.0,1995-12-20
Castelle,82685.0,1995-12-20
Celeritek,82681.0,1995-12-20
Cityscape Financial,82687.0,1995-12-20
DeltaPoint,82691.0,1995-12-20
Electrostar,82696.0,1995-12-20
ForeFront Group,82698.0,1995-12-20
Hungarian Broadcasting,82578.0,1995-12-20
Regent Assisted Living,82739.0,1995-12-20
Spacehab,82747.0,1995-12-20
Sterling Vision,82713.0,1995-12-20
Home Centers (DIY),82709.0,1995-12-21
Vacation Break USA,82758.0,1995-12-21
Complete Management,82682.0,1995-12-27
Sagebrush,82845.0,1996-01-11
Nor'Wester Brewing,82808.0,1996-01-18
Red Brick Systems,82840.0,1996-01-22
Alrenco,82841.0,1996-01-23
FYI,82821.0,1996-01-23
Open Text,82833.0,1996-01-23
PhyMatrix Corp,82835.0,1996-01-23
Bell Technology Group,82810.0,1996-01-24
ESC Medical Systems,82818.0,1996-01-24
Hybridon,82824.0,1996-01-24
K&G Men's Center,82827.0,1996-01-24
Performance Technologies,82839.0,1996-01-24
Pharmaceutical Product Dev,82837.0,1996-01-24
Wilmar Industries,82851.0,1996-01-24
Neopharm,82831.0,1996-01-25
World Color Press,82803.0,1996-01-25
Omnipoint,82832.0,1996-01-26
Aavid Thermal Technologies,82807.0,1996-01-29
Connective Therapeutics,83121.0,1996-01-31
Heartstream,82853.0,1996-01-31
Iron Mountain,83143.0,1996-01-31
Red Roof Inns,82858.0,1996-01-31
US Satellite Broadcasting,83180.0,1996-01-31
Childtime Learning Centers,83125.0,1996-02-01
Conceptus,83123.0,1996-02-01
Intercardia,83146.0,1996-02-01
New World Coffee,83152.0,1996-02-01
RAC Financial Group,83159.0,1996-02-01
Remec,83163.0,1996-02-01
Unidigital,83179.0,1996-02-01
Realco,83165.0,1996-02-02
Arthrocare,83113.0,1996-02-05
Documentum,83130.0,1996-02-05
3-D Geophysical,83172.0,1996-02-06
American Bancshares,83106.0,1996-02-06
Digital Generation Systems,83131.0,1996-02-06
Raptor Systems,83160.0,1996-02-06
Renal Care Group,83162.0,1996-02-06
VocalTec,83183.0,1996-02-06
EndoVascular Technologies,83136.0,1996-02-07
Globe Business Resources,83137.0,1996-02-07
TresCom International,83175.0,1996-02-07
CellularVision USA,83127.0,1996-02-08
ContiFinancial,82791.0,1996-02-08
Rural Cellular,83161.0,1996-02-08
TB Wood's,82861.0,1996-02-08
Chancellor,85409.0,1996-02-09
Whitewing Labs,83184.0,1996-02-09
Physician Support Systems,83157.0,1996-02-12
Digital Data Networks,83132.0,1996-02-13
NCS HealthCare,83150.0,1996-02-13
Cotelligent Group,83122.0,1996-02-14
Dignity Partners,83133.0,1996-02-14
Landec,83148.0,1996-02-14
Optical Sensors,83154.0,1996-02-14
VitalCom,83181.0,1996-02-14
XeTel,83185.0,1996-02-14
CyberCash,83128.0,1996-02-15
Neose Technologies,83151.0,1996-02-15
SCB Computer Technology,83167.0,1996-02-15
Ultradata,83178.0,1996-02-15
COHR Inc,83119.0,1996-02-16
Cylink,83129.0,1996-02-16
Gensym,83138.0,1996-02-16
Iridex,83145.0,1996-02-16
Impath,83141.0,1996-02-20
Columbus McKinnon Corp,83120.0,1996-02-22
Kaye Kotts Associates,83147.0,1996-02-22
Mossimo,82857.0,1996-02-22
Ultrafem,83176.0,1996-02-22
Preferred Networks,83156.0,1996-02-26
Sonics & Materials,83168.0,1996-02-26
Trident International,83174.0,1996-02-26
Thermo-Mizer Environmental,83173.0,1996-02-27
Alexion Pharmaceuticals,83111.0,1996-02-28
CSG Systems International,83124.0,1996-02-28
Engineering Animation,83134.0,1996-02-28
Integrated Packaging Assembly,83144.0,1996-02-28
RISCORP,83164.0,1996-02-28
Revlon,82859.0,1996-02-28
Indus Group,83140.0,1996-02-29
OrCAD,83293.0,1996-02-29
PIA Merchandising,83303.0,1996-02-29
Suburban Propane Partners LP,82860.0,1996-02-29
Berg Electronics,83191.0,1996-03-01
PowerCerv,83298.0,1996-03-01
ChiRex,83246.0,1996-03-05
Data Processing Resources,83253.0,1996-03-05
Health Systems Design,83271.0,1996-03-05
Premiere Technologies,83307.0,1996-03-05
Helisys,83269.0,1996-03-07
IPC Holdings,83279.0,1996-03-07
Cytyc,83251.0,1996-03-08
Sterling Commerce,83229.0,1996-03-08
Superior Services,83318.0,1996-03-08
Caribiner International,83193.0,1996-03-11
Forte Software,83263.0,1996-03-11
Vanstar,83232.0,1996-03-11
XYLAN,83324.0,1996-03-11
Ocal,83294.0,1996-03-12
Platinum Entertainment,83308.0,1996-03-12
Supergen,83317.0,1996-03-12
HMT Technology,83270.0,1996-03-13
Hub Group,83272.0,1996-03-13
Innotech,83276.0,1996-03-14
Isocor,83274.0,1996-03-14
MindSpring Enterprises,83291.0,1996-03-14
Prism Solutions,83306.0,1996-03-14
IDT,83275.0,1996-03-15
Individual,83278.0,1996-03-15
JDA Software Group,83283.0,1996-03-15
Biofield,83242.0,1996-03-19
Elamex,83256.0,1996-03-19
EuroMed,83258.0,1996-03-19
Gateway Data Sciences,83266.0,1996-03-19
Semiconductor Laser Intl,83310.0,1996-03-19
ThermoQuest,83231.0,1996-03-19
Dawson Production Services,83254.0,1996-03-20
Logal Educational Software,83285.0,1996-03-20
AlphaNet Solutions,83234.0,1996-03-21
Analogy,83235.0,1996-03-21
Cimatron,83247.0,1996-03-21
Eagle River Interactive,83259.0,1996-03-21
First USA Paymentech,83204.0,1996-03-21
Intelligent Medical Imaging,83277.0,1996-03-21
Smartserv Online,83316.0,1996-03-21
Wanderlust Interactive,83286.0,1996-03-21
Workgroup Technology,83322.0,1996-03-21
