PERMNO,date,RET,sprtrn
10010,1989-08-31,-0.086957,0.015517
10010,1989-09-29,-0.023810,-0.006544
10010,1989-10-31,-0.195122,-0.025175
10010,1989-11-30,0.045455,0.016541
10010,1989-12-29,0.246377,0.021417
10010,1990-01-31,-0.162791,-0.068817
10010,1990-02-28,0.277778,0.008539
10010,1990-03-30,0.000000,0.024255
10010,1990-04-30,-0.043478,-0.026887
10010,1990-05-31,0.863636,0.091989
10010,1990-06-29,0.951219,-0.008886
10010,1990-07-31,0.250000,-0.005223
10010,1990-08-31,-0.250000,-0.094314
10010,1990-09-28,-0.093333,-0.051184
10010,1990-10-31,-0.147059,-0.006698
10010,1990-11-30,0.379310,0.059934
10010,1990-12-31,-0.025000,0.024828
10010,1991-01-31,0.307692,0.041518
10010,1991-02-28,0.058824,0.067281
10010,1991-03-28,0.296296,0.022203
10010,1991-04-30,-0.114286,0.000346
10010,1991-05-31,0.096774,0.038577
10010,1991-06-28,-0.132353,-0.047893
10010,1991-07-31,0.152542,0.044859
10010,1991-08-30,0.110294,0.019649
10010,1991-09-30,-0.238411,-0.019144
10010,1991-10-31,-0.139130,0.01186
10010,1991-11-29,-0.010101,-0.043928
10010,1991-12-31,0.153061,0.111588
10010,1992-01-31,-0.008850,-0.0199
10010,1992-02-28,-0.044643,0.009565
10010,1992-03-31,-0.009346,-0.021832
10010,1992-04-30,-0.188679,0.027893
10010,1992-05-29,-0.151163,0.000964
10010,1992-06-30,-0.027397,-0.017359
10010,1992-07-31,0.140845,0.039374
10010,1992-08-31,-0.123457,-0.023998
10010,1992-09-30,-0.126761,0.009106
10010,1992-10-30,0.080645,0.002106
10010,1992-11-30,0.208955,0.030262
10010,1992-12-31,0.172840,0.010108
10010,1993-01-29,0.010526,0.007046
10010,1993-02-26,-0.054375,0.010484
10010,1993-03-31,-0.089888,0.018697
10010,1993-04-30,-0.061728,-0.025417
10010,1993-05-28,-0.078947,0.022717
10010,1993-06-30,-0.120000,0.000755
10010,1993-07-30,-0.071429,-0.005327
10010,1993-08-31,-0.153846,0.034432
10010,1993-09-30,-0.113636,-0.009988
10010,1993-10-29,0.205128,0.019393
10010,1993-11-30,-0.127660,-0.012911
10010,1993-12-31,0.207317,0.010091
10010,1994-01-31,0.111111,0.032501
10010,1994-02-28,0.120000,-0.030045
10010,1994-03-31,0.178571,-0.045746
10010,1994-04-29,0.091667,0.011531
10010,1994-05-31,-0.022901,0.012419
10010,1994-06-30,-0.109375,-0.026812
10010,1994-07-29,-0.280702,0.031467
10010,1994-08-31,0.073171,0.037643
10010,1994-09-30,0.090909,-0.026898
10010,1994-10-31,-0.125000,0.020834
10010,1994-11-30,0.071429,-0.039505
10010,1994-12-30,-0.111111,0.012299
10010,1995-01-31,0.050000,0.024278
10010,1995-02-28,-0.142857,0.036074
10010,1995-03-31,-0.138889,0.027329
10010,1995-04-28,0.838710,0.02796
10010,1995-05-31,0.017544,0.036312
10010,1995-06-30,0.034483,0.021279
10010,1995-07-31,0.091667,0.031776
10010,1995-08-31,,-0.00032
10011,1988-05-31,,0.003176
10011,1988-06-30,C,0.043256
10011,1988-07-29,0.148936,-0.005411
10011,1988-08-31,-0.027778,-0.0386
10011,1988-09-30,0.028571,0.039729
10011,1988-10-31,-0.018519,0.025964
10011,1988-11-30,-0.113208,-0.018891
10011,1988-12-30,-0.601064,0.014688
10011,1989-01-31,0.600000,0.071115
10011,1989-02-28,-0.175000,-0.028944
10011,1989-03-31,0.050505,0.020806
10011,1989-04-28,-0.067308,0.05009
10011,1989-05-31,0.020619,0.035138
10011,1989-06-30,-0.202020,-0.007925
10011,1989-07-31,-0.050633,0.08837
10011,1989-08-31,0.200000,0.015517
10011,1989-09-29,0.155556,-0.006544
10011,1989-10-31,-0.096154,-0.025175
10011,1989-11-30,-0.106383,0.016541
10011,1989-12-29,-0.130952,0.021417
10011,1990-01-31,0.561644,-0.068817
10011,1990-02-28,0.254386,0.008539
10011,1990-03-30,0.000000,0.024255
10011,1990-04-30,0.087413,-0.026887
10011,1990-05-31,0.003215,0.091989
10011,1990-06-29,0.051282,-0.008886
10011,1990-07-31,0.048780,-0.005223
10011,1990-08-31,0.046512,-0.094314
10011,1990-09-28,0.222222,-0.051184
10011,1990-10-31,-0.154545,-0.006698
10011,1990-11-30,-0.225806,0.059934
10011,1990-12-31,-0.250000,0.024828
10011,1991-01-31,0.425926,0.041518
10011,1991-02-28,0.181818,0.067281
10011,1991-03-28,0.131868,0.022203
10011,1991-04-30,-0.087379,0.000346
10011,1991-05-31,-0.085106,0.038577
10011,1991-06-28,-0.290698,-0.047893
10011,1991-07-31,-0.032787,0.044859
10011,1991-08-30,0.016949,0.019649
10011,1991-09-30,-0.250000,-0.019144
10011,1991-10-31,0.177778,0.01186
10011,1991-11-29,0.075472,-0.043928
10011,1991-12-31,-0.052632,0.111588
10011,1992-01-31,0.055556,-0.0199
10011,1992-02-28,-0.017544,0.009565
10011,1992-03-31,-0.089286,-0.021832
10011,1992-04-30,-0.117647,0.027893
10011,1992-05-29,-0.044444,0.000964
10011,1992-06-30,-0.069767,-0.017359
10011,1992-07-31,0.300000,0.039374
10011,1992-08-31,-0.192308,-0.023998
